Date	 NEE	 CH4_s1	 CH4_s2	 H 	 LE	 Tair	 Tsoil 5cm	 Tsoil 10cm	 Tsoil 20cm	 Tsoil 30cm	 Tsoil 40cm	  Tsoil 50cm	  Tsoil 100cm	  Tsoil 200cm	  Water Table	  RH	  Prec	 
-	 [g m-2 d-1]	 [g m-2 d-1]	 [g m-2 d-1]	 [Wm-2]	 [Wm-2]	 [C]	 [C]	 [C]	 [C]	 [C]	 [C]	  [C]	  [C]	  [C]	  [m]	  [%]	  [inches d-1]	
42005	 0.392	 0.0247	 0.0187	 -6.3	 9.4	 -11.0	 0.8	 1.1	 2.0	 2.7	 3.4	 4.2	 6.5	 7.701	 2.1	 85.2	 0.000	
42006	 0.578	 0.0222	 0.0191	 -14.1	 5.4	 -13.3	 0.7	 1.1	 1.9	 2.7	 3.3	 4.1	 6.5	 7.677	 1.8	 97.2	 0.000	
42007	 0.582	 0.0218	 0.0191	 -12.7	 3.4	 -10.1	 0.7	 1.0	 1.9	 2.6	 3.3	 4.1	 6.4	 7.657	 1.8	 97.9	 0.001	
42008	 0.024	 0.0208	 0.0197	 -10.9	 0.0	 -26.4	 0.6	 1.0	 1.8	 2.5	 3.2	 4.0	 6.4	 7.642	 1.5	 100.0	 0.000	
42009	 0.388	 0.0214	 0.0197	 -13.3	 1.8	 -24.0	 0.6	 0.9	 1.8	 2.5	 3.1	 3.9	 6.3	 7.622	 1.2	 100.0	 0.000	
42010	 0.399	 0.0219	 0.0194	 -10.5	 3.3	 -20.0	 0.6	 0.9	 1.7	 2.4	 3.1	 3.9	 6.3	 7.579	 1.2	 99.4	 0.000	
42011	 0.371	 0.0218	 0.0195	 -10.5	 3.3	 -23.3	 0.5	 0.8	 1.7	 2.4	 3.0	 3.8	 6.2	 7.557	 1.2	 100.0	 0.000	
42012	 0.459	 0.0218	 0.0187	 -19.3	 0.4	 -17.7	 0.5	 0.8	 1.6	 2.3	 3.0	 3.8	 6.2	 7.526	 1.8	 98.1	 0.001	
42013	 0.395	 0.0216	 0.0194	 -10.4	 1.1	 -20.3	 0.4	 0.8	 1.6	 2.3	 2.9	 3.7	 6.1	 7.507	 1.2	 100.0	 0.000	
42014	 0.382	 0.0214	 0.0193	 -11.1	 0.8	 -20.3	 0.4	 0.7	 1.6	 2.2	 2.9	 3.7	 6.1	 7.477	 1.2	 99.1	 0.000	
42015	 0.386	 0.0215	 0.0194	 -16.9	 -0.3	 -20.8	 0.4	 0.7	 1.5	 2.2	 2.8	 3.6	 6.0	 7.456	 0.9	 99.3	 0.000	
42016	 0.361	 0.0212	 0.0195	 -12.0	 2.9	 -23.4	 0.4	 0.7	 1.5	 2.2	 2.8	 3.6	 6.0	 7.427	 0.9	 99.9	 0.000	
42017	 0.401	 0.0212	 0.0199	 -9.1	 3.3	 -18.8	 0.3	 0.7	 1.4	 2.1	 2.7	 3.6	 5.9	 7.411	 0.6	 95.1	 0.000	
42018	 0.532	 0.0214	 0.0198	 -11.4	 3.4	 -10.4	 0.3	 0.6	 1.4	 2.1	 2.7	 3.5	 5.9	 7.380	 0.6	 85.8	 0.000	
42019	 0.655	 0.0211	 0.0198	 -11.1	 2.2	 -4.7	 0.3	 0.6	 1.4	 2.0	 2.6	 3.5	 5.8	 7.353	 0.6	 92.8	 0.000	
