DoY	 NEE	 CH4	 H 	 LE	 Tair	 Tsoil 10cm	 Tsoil 100cm	 Water Table	 RH	 Prec	 Tsoil_water	 
-	 [g m-2 d-1]	 [g m-2 d-1]	 [Wm-2]	 [Wm-2]	 [C]	 [C]	 [C]	 [m]	 [%]	 [inches d-1]	 [C]	 
1	 -0.067	 0.034	 -13.3	 9.0	 -9.3	 2.1	 7.5	 0.520	 77.1	 0.000	 1.0	
2	 -0.473	 0.032	 -8.8	 11.9	 -8.5	 2.1	 7.4	 0.510	 91.8	 0.050	 1.0	
3	 -0.054	 0.037	 -12.8	 6.7	 -12.4	 2.1	 7.4	 0.520	 85.9	 0.060	 1.0	
4	 -0.515	 0.036	 -14.4	 4.3	 -24.5	 2.0	 7.3	 0.520	 75.0	 0.000	 1.0	
5	 -0.502	 0.037	 -11.2	 7.2	 -25.8	 2.0	 7.3	 0.510	 78.2	 0.000	 1.0	
6	 -0.408	 0.036	 -11.3	 17.4	 -26.2	 1.9	 7.2	 0.510	 77.5	 0.000	 1.0	
7	 -0.459	 0.034	 -15.7	 10.6	 -19.9	 1.8	 7.2	 0.510	 79.6	 0.000	 1.0	
8	 -0.385	 0.035	 -11.2	 17.1	 -20.7	 1.8	 7.1	 0.500	 79.7	 0.020	 1.0	
9	 -0.354	 0.032	 -10.1	 12.0	 -12.4	 1.7	 7.0	 0.500	 88.5	 0.010	 1.0	
10	 -0.426	 0.034	 -13.3	 6.7	 -12.2	 1.7	 7.0	 0.490	 89.5	 0.150	 1.0	
11	 -0.160	 0.034	 -10.3	 6.0	 -19.7	 1.6	 6.9	 0.490	 79.8	 0.000	 1.0	
12	 -0.357	 0.033	 -19.2	 6.6	 -22.3	 1.6	 6.9	 0.480	 74.5	 0.000	 1.0	
13	 -0.396	 0.035	 -11.0	 14.2	 -25.2	 1.6	 6.9	 0.480	 65.5	 0.000	 1.0	
14	 -0.370	 0.033	 -10.3	 14.0	 -17.0	 1.5	 6.8	 0.480	 80.4	 0.000	 1.0	
15	 -0.385	 0.034	 -8.2	 17.1	 -10.7	 1.5	 6.7	 0.470	 75.3	 0.000	 1.0	
16	 -0.383	 0.032	 -6.8	 17.8	 -8.9	 1.5	 6.7	 0.470	 87.3	 0.000	 1.0	
17	 -0.296	 0.032	 -9.1	 15.7	 -9.9	 1.4	 6.6	 0.470	 78.9	 0.000	 1.0	
18	 -0.366	 0.033	 -5.0	 19.2	 -1.0	 1.4	 6.6	 0.470	 75.4	 0.000	 1.0	
19	 -0.377	 0.030	 -8.6	 14.1	 0.2	 1.4	 6.6	 0.470	 98.3	 0.000	 1.0	
20	 -0.373	 0.030	 -10.3	 13.7	 0.5	 1.4	 6.5	 0.480	 100.0	 0.110	 1.0	
21	 -0.436	 0.029	 -9.7	 11.5	 1.3	 1.4	 6.4	 0.480	 99.9	 0.010	 1.0	
22	 -0.217	 0.030	 -6.3	 9.8	 1.5	 1.3	 6.4	 0.490	 99.5	 0.000	 1.0	
23	 -0.269	 0.031	 -9.2	 12.6	 0.0	 1.3	 6.3	 0.490	 93.0	 0.000	 1.0	
24	 0.076	 0.030	 -5.4	 8.9	 -2.0	 1.3	 6.3	 0.490	 85.2	 0.000	 1.0	
25	 0.058	 0.034	 -5.0	 8.3	 -3.4	 1.3	 6.3	 0.490	 88.9	 0.000	 1.0	
26	 0.342	 0.030	 -1.0	 9.2	 -6.2	 1.3	 6.2	 0.480	 88.2	 0.000	 1.0	
27	 0.331	 0.034	 -13.2	 3.9	 -6.4	 1.3	 6.2	 0.480	 83.6	 0.000	 1.0	
28	 -0.005	 0.030	 -5.4	 7.0	 -6.4	 1.3	 6.1	 0.480	 81.4	 0.000	 1.0	
29	 -0.572	 0.033	 -7.9	 7.2	 -11.5	 1.2	 6.1	 0.470	 75.0	 0.000	 1.0	
30	 -0.373	 0.032	 -11.7	 10.6	 -8.1	 1.2	 6.0	 0.480	 86.3	 0.260	 1.0	
31	 -0.115	 0.035	 -10.4	 7.0	 -3.9	 1.2	 6.0	 0.480	 88.7	 0.050	 1.0	
32	 -0.054	 0.034	 -17.4	 2.4	 -15.7	 1.2	 6.0	 0.480	 71.5	 0.000	 1.0	
33	 -0.203	 0.035	 -24.7	 0.4	 -18.2	 1.2	 5.9	 0.470	 70.6	 0.000	 1.0	
34	 -0.129	 0.033	 -18.5	 3.2	 -15.9	 1.2	 5.9	 0.470	 78.6	 0.000	 1.0	
35	 -0.327	 0.031	 -12.5	 8.0	 -11.3	 1.2	 5.8	 0.470	 89.4	 0.030	 1.0	
36	 -0.353	 0.031	 -14.1	 3.2	 -14.8	 1.2	 5.8	 0.470	 75.4	 0.020	 1.0	
37	 -0.588	 0.028	 -6.4	 5.5	 -12.0	 1.2	 5.8	 0.470	 85.5	 0.000	 1.0	
38	 -0.267	 0.034	 -5.8	 5.7	 -12.3	 1.2	 5.7	 0.470	 83.9	 0.040	 1.0	
39	 -0.193	 0.032	 -21.5	 2.3	 -19.8	 1.1	 5.7	 0.470	 72.3	 0.000	 1.0	
40	 -0.291	 0.034	 -13.4	 11.7	 -17.5	 1.1	 5.7	 0.470	 65.8	 0.000	 1.0	
41	 0.015	 0.028	 -12.4	 12.9	 -2.7	 1.1	 5.6	 0.470	 74.9	 0.020	 1.0	
42	 -0.208	 0.029	 -8.0	 11.2	 -2.3	 1.1	 5.6	 0.460	 86.5	 0.000	 1.0	
43	 0.028	 0.035	 -22.5	 10.1	 -2.6	 1.1	 5.6	 0.450	 63.6	 0.000	 1.0	
44	 -0.079	 0.033	 -12.4	 21.7	 -2.2	 1.1	 5.5	 0.450	 74.2	 0.000	 1.0	
45	 -0.044	 0.034	 -34.6	 10.4	 -2.5	 1.1	 5.5	 0.450	 64.1	 0.000	 1.0	
46	 -0.307	 0.032	 -8.5	 13.6	 -9.2	 1.0	 5.5	 0.450	 66.9	 0.000	 1.0	
47	 -0.400	 0.034	 -1.2	 28.5	 -2.3	 1.0	 5.4	 0.450	 61.4	 0.000	 1.0	
48	 -0.290	 0.032	 1.4	 31.1	 3.8	 1.0	 5.4	 0.450	 71.9	 0.000	 1.0	
49	 0.101	 0.029	 -28.1	 -1.6	 5.1	 1.0	 5.4	 0.450	 73.9	 0.000	 1.0	
50	 -0.351	 0.033	 -6.3	 18.4	 4.3	 1.0	 5.3	 0.460	 72.8	 0.000	 1.0	
51	 0.055	 0.031	 -8.8	 19.7	 5.6	 1.0	 5.3	 0.510	 87.8	 0.610	 1.0	
52	 -0.241	 0.036	 -1.3	 31.2	 3.2	 1.0	 5.2	 0.680	 88.2	 0.000	 1.0	
53	 -0.293	 0.032	 -11.2	 19.7	 1.1	 1.0	 5.2	 0.700	 96.2	 0.060	 1.0	
54	 -0.201	 0.035	 -11.9	 16.1	 -4.9	 1.0	 5.1	 0.700	 80.9	 0.000	 1.0	
55	 -0.041	 0.036	 -14.2	 8.5	 -9.6	 1.0	 5.1	 0.700	 68.7	 0.000	 1.0	
56	 -0.402	 0.035	 -9.4	 19.7	 -9.5	 1.0	 5.1	 0.700	 78.4	 0.000	 1.0	
57	 -0.657	 0.037	 -8.9	 21.1	 -9.6	 1.0	 5.1	 0.690	 71.2	 0.000	 1.0	
58	 -0.431	 0.037	 -3.8	 32.1	 -8.4	 1.0	 5.0	 0.680	 75.8	 0.000	 1.0	
59	 -0.402	 0.037	 -7.6	 13.7	 -2.7	 1.0	 5.0	 0.680	 78.1	 0.000	 1.0	
60	 -0.607	 0.036	 -8.0	 20.8	 -6.7	 1.0	 5.0	 0.660	 59.1	 0.000	 1.0	
61	 -0.767	 0.042	 -13.2	 11.9	 -12.7	 1.0	 4.9	 0.650	 49.6	 0.000	 1.0	
62	 -0.327	 0.039	 -3.6	 35.1	 -14.3	 1.0	 4.9	 0.640	 65.9	 0.000	 1.0	
63	 -0.427	 0.038	 4.5	 51.2	 -2.7	 1.0	 4.9	 0.640	 66.2	 0.000	 1.0	
64	 -0.422	 0.035	 4.0	 40.8	 2.9	 1.0	 4.9	 0.640	 81.8	 0.000	 1.0	
65	 -0.346	 0.034	 -10.4	 20.7	 6.0	 1.0	 4.8	 0.760	 98.4	 0.020	 1.0	
66	 -0.787	 0.041	 -6.5	 25.4	 -5.8	 1.0	 4.8	 0.770	 81.8	 0.040	 1.0	
67	 -0.575	 0.038	 9.7	 18.3	 -11.0	 1.0	 4.7	 0.760	 68.9	 0.000	 1.0	
68	 -0.693	 0.041	 7.7	 19.1	 -13.1	 1.0	 4.7	 0.740	 53.3	 0.000	 1.0	
69	 -0.890	 0.040	 23.0	 15.1	 -18.6	 1.0	 4.7	 0.720	 46.7	 0.000	 1.0	
70	 -0.459	 0.039	 15.6	 15.2	 -16.0	 0.9	 4.7	 0.710	 51.2	 0.000	 1.0	
71	 -1.169	 0.038	 1.5	 27.9	 -12.2	 0.9	 4.7	 0.690	 53.4	 0.000	 1.0	
72	 -0.454	 0.038	 2.3	 31.6	 -11.6	 0.9	 4.6	 0.680	 53.6	 0.000	 1.0	
73	 -0.594	 0.039	 1.4	 35.6	 -10.7	 0.9	 4.6	 0.660	 58.7	 0.000	 1.0	
74	 -0.203	 0.038	 0.9	 40.9	 -7.3	 0.8	 4.6	 0.650	 60.7	 0.000	 1.0	
75	 -0.431	 0.037	 5.6	 49.9	 -1.0	 0.8	 4.6	 0.650	 64.9	 0.120	 1.0	
76	 -0.129	 0.034	 -8.8	 23.6	 -0.4	 0.8	 4.5	 0.670	 96.6	 0.150	 1.0	
77	 -0.386	 0.036	 5.5	 22.6	 -3.4	 0.8	 4.5	 0.660	 82.0	 0.000	 1.0	
78	 -0.463	 0.037	 4.3	 37.5	 2.6	 0.8	 4.5	 0.710	 69.8	 0.000	 1.0	
79	 -0.241	 0.041	 -16.5	 34.7	 4.7	 0.8	 4.5	 0.790	 51.2	 0.000	 1.0	
80	 0.792	 0.042	 29.8	 43.5	 -7.0	 0.7	 4.4	 0.790	 49.4	 0.000	 1.0	
81	 -0.446	 0.041	 2.5	 42.9	 -5.0	 0.7	 4.4	 0.760	 52.0	 0.000	 1.0	
82	 -0.430	 0.040	 -7.0	 20.7	 0.5	 0.7	 4.4	 0.830	 78.7	 0.380	 1.0	
83	 -0.388	 0.036	 -7.2	 16.2	 1.6	 0.7	 4.3	 0.860	 91.1	 0.000	 1.0	
84	 -0.587	 0.042	 3.4	 23.5	 1.3	 0.7	 4.3	 0.900	 80.6	 0.000	 1.0	
85	 -0.555	 0.041	 1.8	 17.8	 2.3	 0.7	 4.2	 0.910	 85.0	 0.000	 1.0	
86	 -0.443	 0.042	 21.3	 45.7	 4.3	 0.6	 4.2	 0.910	 75.8	 0.000	 1.0	
87	 -0.304	 0.043	 2.7	 35.2	 5.2	 0.6	 4.2	 0.890	 66.9	 0.000	 1.0	
88	 -0.414	 0.042	 9.4	 30.2	 3.8	 0.6	 4.2	 0.880	 69.7	 0.000	 1.0	
89	 -0.452	 0.046	 19.9	 50.5	 3.7	 0.6	 4.1	 0.870	 70.7	 0.000	 1.0	
90	 -0.196	 0.044	 16.1	 48.9	 4.6	 0.7	 4.1	 0.860	 69.0	 0.000	 1.0	
91	 -0.379	 0.042	 10.7	 33.9	 5.2	 1.2	 4.1	 0.860	 85.8	 0.020	 1.0	
92	 -0.415	 0.042	 13.2	 36.2	 6.1	 1.9	 4.1	 0.850	 82.0	 0.000	 1.0	
93	 0.854	 0.045	 8.8	 57.3	 7.8	 2.6	 4.1	 0.830	 68.5	 0.000	 1.0	
94	 -0.516	 0.048	 0.7	 54.4	 7.6	 3.1	 4.0	 0.810	 48.5	 0.000	 1.0	
95	 0.488	 0.043	 30.0	 68.7	 3.2	 3.4	 4.0	 0.800	 62.1	 0.000	 1.0	
96	 0.641	 0.045	 30.9	 68.3	 3.0	 3.5	 4.0	 0.780	 55.1	 0.000	 1.0	
97	 -0.430	 0.047	 21.6	 56.2	 5.4	 3.7	 4.0	 0.760	 51.4	 0.000	 1.0	
98	 -0.397	 0.046	 17.6	 45.0	 10.9	 3.8	 4.0	 0.750	 54.9	 0.000	 1.0	
99	 0.035	 0.045	 -5.3	 46.2	 10.4	 4.3	 4.0	 0.740	 65.4	 0.000	 1.0	
100	 0.426	 0.053	 40.2	 65.4	 2.2	 4.7	 4.0	 0.730	 62.8	 0.000	 1.0	
101	 0.042	 0.050	 29.5	 71.4	 2.1	 4.7	 4.0	 0.710	 58.7	 0.000	 1.0	
